Date,Open,High,Low,Close,Adj Close,Volume
29-04-2022,2351.560,2379.20,2293.88,2299.33,2299.33,1684700.00
02-05-2022,2278.130,2346.79,2267.99,2343.14,2343.14,1514000.00
03-05-2022,2335.300,2386.00,2332.54,2362.59,2362.59,1060800.00
04-05-2022,2360.070,2462.86,2314.77,2451.50,2451.50,1661600.00
05-05-2022,2404.410,2424.67,2303.65,2334.93,2334.93,2154500.00
06-05-2022,2310.380,2349.97,2282.86,2313.20,2313.20,1765500.00
09-05-2022,2266.070,2311.26,2251.03,2261.68,2261.68,1726000.00
10-05-2022,2320.810,2333.82,2267.67,2291.69,2291.69,1557900.00
11-05-2022,2274.210,2333.42,2273.00,2279.22,2279.22,1825100.00
12-05-2022,2238.760,2297.13,2202.27,2263.22,2263.22,2073200.00
13-05-2022,2296.910,2361.70,2280.00,2330.31,2330.31,1486900.00
16-05-2022,2307.680,2332.15,2286.70,2295.85,2295.85,1164100.00
17-05-2022,2344.550,2344.55,2306.75,2334.03,2334.03,1078800.00
18-05-2022,2304.750,2313.91,2242.84,2248.02,2248.02,1399100.00
19-05-2022,2236.820,2271.75,2209.36,2214.91,2214.91,1459600.00
20-05-2022,2241.710,2251.00,2127.46,2186.26,2186.26,1879300.00
23-05-2022,2202.080,2240.11,2183.08,2233.33,2233.33,1577900.00
24-05-2022,2127.550,2127.90,2044.16,2118.52,2118.52,3019300.00
25-05-2022,2102.840,2130.89,2084.23,2116.79,2116.79,1895000.00
26-05-2022,2121.010,2179.10,2109.76,2165.92,2165.92,1514400.00
27-05-2022,2195.770,2257.36,2191.00,2255.98,2255.98,1496200.00
31-05-2022,2261.580,2328.67,2251.45,2280.78,2280.78,2565100.00
01-06-2022,2298.630,2347.98,2271.01,2282.74,2282.74,1431500.00
02-06-2022,2283.760,2357.96,2266.16,2354.92,2354.92,1373600.00
03-06-2022,2319.850,2327.29,2273.36,2291.28,2291.28,1252600.00
06-06-2022,2334.850,2387.97,2330.57,2340.21,2340.21,1189300.00
07-06-2022,2312.960,2354.97,2302.51,2344.59,2344.59,1320700.00
08-06-2022,2337.530,2372.92,2333.94,2344.76,2344.76,1127200.00
09-06-2022,2326.830,2367.00,2297.34,2298.36,2298.36,1157100.00
10-06-2022,2255.625,2269.94,2217.22,2228.55,2228.55,1566200.00
13-06-2022,2148.920,2184.37,2131.76,2137.53,2137.53,1837800.00
14-06-2022,2137.800,2169.15,2127.04,2143.88,2143.88,1274000.00
15-06-2022,2177.990,2241.26,2162.38,2207.81,2207.81,1659600.00
16-06-2022,2162.990,2185.81,2115.85,2132.72,2132.72,1765700.00
17-06-2022,2130.700,2184.99,2112.57,2157.31,2157.31,2163500.00
21-06-2022,2194.040,2253.46,2185.87,2240.30,2240.30,1950500.00
22-06-2022,2223.260,2275.39,2214.49,2240.68,2240.68,1196100.00
23-06-2022,2259.000,2263.93,2220.58,2253.69,2253.69,1235500.00
24-06-2022,2272.060,2372.75,2272.06,2370.76,2370.76,1954700.00
